AUTOMATIC,MANUAL
talk I'm not trying to gatekeep but I'm definitely ,talk I'm not tryna gatekeep but I'm definitely 
trying to let you know who built the damn gate,tryna let you know who built the damn gate
the fact that I can make a stake in the ,the fact that I can make a stake in the 
Reclamation of black things and black culture  ,Reclamation of black things and black culture  
makes me very optimistic to be on stage at the ,makes me very optimistic to be on stage at the 
premier conference for the experts in their field  ,premier conference for the experts in their field  
talking about twerking and stating my facts makes ,talking about twerking and stating my facts makes 
me optimistic the best thing I can do is be loud  ,me optimistic the best thing I can do is be loud  
and take ownership because for me twerking is a ,and take ownership because for me twerking is a 
pearl of optimism it's a form of self-expression  ,pearl of optimism it's a form of self-expression  
Freedom confidence twerking is not just something ,Freedom confidence twerking is not just something 
I do to music it's extremely useful it manifests  ,I do to music it's extremely useful it manifests  
in my life in ways that I need more joy in ,in my life in ways that I need more joy in 
the mornings twerking leads me to stretching  ,the mornings twerking leads me to stretching  
and taking care of my body I bend over and I ,and taking care of my body I bend over and I 
isolate my cheeks I'm in downward dog namaste  ,isolate my cheeks I'm in downward dog namaste  
sometimes I put on a song and I shake ass ,sometimes I put on a song and I shake ass 
and immediately I'm in love with myself and  ,and immediately I'm in love with myself and  
not just self-love I mean like okay lizzo ,not just self-love I mean like okay Lizzo 
what's your number but it's not just sexual,what's your number I would do me but it's not just sexual it's not
it's working as a deep Soulful spiritual ,twerking is a deep Soulful spiritual 
practice it's hip opening it's empowering  ,practice it's hip opening it's empowering  
when performed as the mapuka it's said to connect ,when performed as the Mapouka
BLANK,it's said to connect 
you to God it's sacred and now we're practicing  ,you to God it's sacred and now we're practicing  
that on mainstream stages we're practicing ,that on mainstream stages we're practicing 
that at home and it's contributing to the  ,that at home and it's contributing to the  
liberation of women and people around ,liberation of women and people around 
the world twerking is good for Humanity  ,the world twerking is good for Humanity  
40 years ago when black and brown people in New ,40 years ago when black and brown people in New 
York invented break dancing it was villainized  ,York invented break dancing it was villainized  
mainstream media weaponized breakdancing by ,mainstream media weaponized breakdancing by 
connecting it to gang activity and violence  ,connecting it to gang activity and violence  
as an art form and subculture ,as an art form and subculture 
it wasn't taken seriously  ,it wasn't taken seriously  
fast forward to today break dancing is ,fast forward to today break dancing is 
now an Olympic sport what will be the  ,now an Olympic sport what will be the  
future of twerking Russian ballet dancers are ,future of twerking Russian ballet dancers are 
twerking have you seen it they be like this,twerking have you seen it they be like this
I think I'm playing take out their life,y'all I think I'm playing they're out there like
can we clear Tchaikovsky,can we clear Tchaikovsky
will we see it's working as an Olympic sport one ,will we see twerking as an Olympic sport one 
day and will black people still be part of it  ,day and will black people still be part of it  
I'm proud to be a twerk pioneer I'm ,I'm proud to be a twerk pioneer I'm 
grateful for the asses that came before me  ,grateful for the asses that came before me  
all hell Beyonce Nicki Minaj from Betty Boop ,all hell Beyonce Nicki Minaj from Betty Boop 
to Buffy the Body when I shake this ass I  ,to Buffy the Body when I shake this ass I  
do it for the culture not the vulture for me ,do it for the culture not the vulture for me 
twerking ain't a trend my body is not a trend  ,twerking ain't a trend my body is not a trend  
I twerk for the strippers for the video vixens for ,I twerk for the strippers for the video vixens for 
the church ladies who shout for the sex workers  ,the church ladies who shout for the sex workers  
I Twerk because black women are undeniable I ,I Twerk because black women are undeniable I 
swear for my ancestors for sexual Liberation for  ,twerk for my ancestors for sexual Liberation for  
my [ __ ] hey girl because I can because I know I ,my bitches hey girl because I can because I know I 
look good I Twerk because it's Unique to the black  ,look good I Twerk because it's Unique to the black  
experience it's Unique to my culture and it means ,experience it's Unique to my culture and it means 
something real to me I Twerk because I'm talented,something real to me I Twerk because I'm talented
because I'm sexual but not to be sexualized,because I'm sexual but not to be sexualized
I swear to own my power to reclaim my ,I twerk to own my power to reclaim my 
blackness my culture I twerk for fat  ,blackness my culture I twerk for fat  
black women because being fat ,black women because being fat 
and black is a beautiful thing,and black is a beautiful thing
that's worked because it's as natural ,that's worked because it's as natural 
to me as breathing black women invented  ,to me as breathing black women invented  
twerking and twerking is part of the ,twerking and twerking is part of the 
Revolution we've been doing it we're  ,Revolution we been doing it we  
going to keep on doing it because we ,gonna keep on doing it because we 
have and always will be the blueprint,have and always will be the blueprint
we work to remind ourselves we hear ,we twerk to remind ourselves we here
and we ain't going nowhere so in a  ,and we ain't going nowhere so in a  
case of optimism I want everyone to ,case of optimism I want everyone to 
stand up and shake some ass with me I  ,stand up and shake some ass with me are  
y'all ready come on y'all I've been waiting ,y'all ready come on y'all I been waiting 
for this one or I'm gonna show you how to do it,for this one Imma show you how to do it
in the circle now hey hey,"Pop, pop, pop, pop"
BLANK,you're going in a circle now hey hey hey
let's go,let's go
okay you really twerking it,okay you really twerking it
BLANK,C'mon I wanna see what you can do
BLANK,"ok, ok, ok, ok, I like what you're doing"
BLANK,"hey, hey"
BLANK,thank you so much Ted talk
this is a dream come true thank you ,This is a dream come true thank you so much
so much thank you I don't know why  ,BLANK
I'm emotional but I feel like we made ,I don't know why I'm emotional but I feel like we made 
history tonight so thank you so much,history tonight so thank you so much
foreign,BLANK
this was my team I stunk at sports I didn't ,So when I was a kid this was my team I stunk at sports I didn't 
like to play them and then like to watch them  ,like to play them I didn't like to watch them  
so this is what I did I went fishing and ,so this is what I did I went fishing and 
for all of my growing up I fished on the  ,for all of my growing up I fished on the  
shores of Connecticut and these are the ,shores of Connecticut and these are the 
creatures that I saw on a regular basis  ,creatures that I saw on a regular basis  
but after I grew up and went to college and I ,but after I grew up and went to college and I 
came home in the early 90s this is what I found  ,came home in the early 90s this is what I found  
my team had shrunk it was like ,my team had shrunk it was like 
literally having your roster devastated  ,literally having your roster devastated  
and as I sort of looked into that from a ,and as I sort of looked into that from a 
very personal point of view as a fisherman  ,very personal point of view as a fisherman  
I started kind of figuring out well what ,I started kind of figuring out well what 
was the rest of the world thinking about it  ,was the rest of the world thinking about it  
first place I started to look was fish markets and ,first place I started to look was fish markets and 
when I went to fish markets in spite of where I  ,when I went to fish markets in spite of where I  
was whether it's in North Carolina or Paris or ,was whether it's in North Carolina or Paris or 
London or wherever I kept seeing this weirdly  ,London or wherever I kept seeing this weirdly  
repeating Trope of four creatures again and again ,repeating Trope of four creatures again and again 
on the menus on Ice shrimp tuna salmon and cod  ,on the menus on Ice shrimp tuna salmon and cod  
and I thought this was pretty strange and as ,and I thought this was pretty strange and as 
I looked at it I was wondering did anyone else  ,I looked at it I was wondering did anyone else  
notice this sort of shrinking of the market well ,notice this sort of shrinking of the market well 
when I looked into it I realized that people  ,when I looked into it I realized that people  
didn't look at it as their team Ordinary People ,didn't look at it as their team Ordinary People 
the way they looked at Seafood was like this  ,the way they looked at Seafood was like this  
it's not an unusual human characteristic to reduce ,it's not an unusual human characteristic to reduce 
the natural world down to very few elements we did  ,the natural world down to very few elements we did  
it before 10 000 years ago when we came out of our ,it before 10 000 years ago when we came out of our 
caves if you look at fire pits from 10 000 years  ,caves if you look at fire pits from 10 000 years  
ago you'll see raccoons you'll see you know wolves ,ago you'll see raccoons you'll see you know wolves 
you'll see all kinds of different creatures but if  ,you'll see all kinds of different creatures but if  
you telescope to the age of uh you know 2000 years ,you telescope to the age of uh you know 2000 years 
ago you'll see these four mammals pigs cows sheep  ,ago you'll see these four mammals pigs cows sheep  
and goats it's true of birds too you look at the ,and goats it's true of birds too you look at the 
menus in New York City restaurants 150 years ago  ,menus in New York City restaurants 150 years ago  
200 years ago you'll see snipe Woodcock Grouse ,200 years ago you'll see snipe Woodcock Grouse 
dozens of ducks dozens of geese but telescope  ,dozens of ducks dozens of geese but telescope  
ahead to the age of modern animal husbandry and ,ahead to the age of modern animal husbandry and 
you'll see four turkey stocks chicken and geese  ,you'll see four turkeys ducks chicken and geese  
so it makes sense that we've had in this direction ,so it makes sense that we've had in this direction 
but but how have we headed in this direction well  ,but but how have we headed in this direction well  
first it's a very very new problem this is the ,first it's a very very new problem this is the 
way we've been fishing the oceans over the last  ,way we've been fishing the oceans over the last  
50 years World War II was a tremendous incentive ,50 years World War II was a tremendous incentive 
to arm ourselves in a war against fish all of the  ,to arm ourselves in a war against fish all of the  
technology that we perfected during World War II ,technology that we perfected during World War II 
uh sonar lightweight polymers all these things  ,uh sonar lightweight polymers all these things  
were redirected towards fish and so you see this ,were redirected towards fish and so you see this 
tremendous buildup in fishing capacity quadrupling  ,tremendous buildup in fishing capacity quadrupling  
in the course of time from the end of World ,in the course of time from the end of World 
War II to the present time and right now that  ,War II to the present time and right now that  
means we're taking between 80 and 90 million ,means we're taking between 80 and 90 million 
metric tons out of the sea every year that's  ,metric tons out of the sea every year that's  
the equivalent of the human weight of China taken ,the equivalent of the human weight of China taken 
out of the sea every year and it's no coincidence  ,out of the sea every year and it's no coincidence  
that I use China as the example because China is ,that I use China as the example because China is 
now the largest fishing nation in the world well  ,now the largest fishing nation in the world well  
that's only half the story the other half of the ,that's only half the story the other half of the 
story is this incredible boom in fish farming and  ,story is this incredible boom in fish farming and  
aquaculture which is now only in the last year ,aquaculture which is now only in the last year 
or two starting to exceed the amount of wild  ,or two starting to exceed the amount of wild  
fish that we produce so that if you add Wild Fish ,fish that we produce so that if you add Wild Fish 
and Farm fish together you get the equivalent of  ,and Farm fish together you get the equivalent of  
two Chinas created from the ocean each and every ,two Chinas created from the ocean each and every 
year and again it's not a coincidence that I use  ,year and again it's not a coincidence that I use  
China as the example because China in addition ,China as the example because China in addition 
to being the biggest catcher of fish is also  ,to being the biggest catcher of fish is also  
the biggest farmer of fish so let's look though ,the biggest farmer of fish so let's look though 
at the four choices that we are making right now  ,at the four choices that we are making right now  
um the first one the most by far the most consumed ,um the first one the most by far the most consumed 
uh Seafood in America and in much of the West is  ,uh Seafood in America and in much of the West is  
shrimp shrimp in the wild is a wild product is ,shrimp shrimp in the wild as a wild product is 
a terrible product 5 10 15 pounds of wild fish  ,a terrible product 5 10 15 pounds of wild fish  
are regularly killed to bring one pound of ,are regularly killed to bring one pound of 
shrimp to the market they're also incredibly  ,shrimp to the market they're also incredibly  
fuel inefficient to bring to the market in a ,fuel inefficient to bring to the market in a 
recent study that was produced out of Dalhousie  ,recent study that was produced out of Dalhousie  
University it was found that Dragon for shrimp is ,University it was found that dragging for shrimp is 
one of the most carbon intensive ways of fishing  ,one of the most carbon intensives ways of fishing  
that you can find so you can Farm them and people ,that you can find so you can Farm them and people 
do farm them they Farm them a lot in this very  ,do farm them they Farm them a lot in this very  
area problem is the place where you farm shrimp ,area problem is the place where you farm shrimp 
is in these wild habitats in Mangrove forests and  ,is in these wild habitats in Mangrove forests now
I look at those lovely roots coming down those ,look at those lovely roots coming down those 
are the things that hold soil together protect  ,are the things that hold soil together protect  
coasts create habitats for all sort of young ,coasts create habitats for all sort of young 
fish young shrimp all sorts of things that are  ,fish young shrimp all sorts of things that are  
important to this environment well this is what ,important to this environment well this is what 
happens to a lot of coastal Mangrove forests we've  ,happens to a lot of coastal Mangrove forests we've  
lost millions of Acres of coastal mangroves over ,lost millions of Acres of coastal mangroves over 
the last 30 or 40 years that rate of Destruction  ,the last 30 or 40 years that rate of Destruction  
has slowed but we're still in a major Mangrove ,has slowed but we're still in a major Mangrove 
deficit the other thing that's going on here  ,deficit the other thing that's going on here  
is a phenomenon that the filmmaker Mark Benjamin ,is a phenomenon that the filmmaker Mark Benjamin 
called grinding Nemo this phenomenon is very very  ,called grinding Nemo this phenomenon is very very  
relevant to anything that you've ever seen on a ,relevant to anything that you've ever seen on a 
tropical Reef because what's going on right now we  ,tropical Reef because what's going on right now we  
have shrimp draggers dragging for shrimp catching ,have shrimp draggers dragging for shrimp catching 
a huge amount of bycatch that bycatch in turn  ,a huge amount of bycatch that bycatch in turn  
gets ground up and turned into shrimp food and ,gets ground up and turned into shrimp food and 
sometimes many of these vessels manned by slaves  ,sometimes many of these vessels manned by slaves  
are catching these so-called trash fish fish that ,are catching these so-called trash fish fish that 
we would love to see on a reef grinding them up  ,we would love to see on a reef grinding them up  
and turning them into shrimp feed an ecosystem ,and turning them into shrimp feed an ecosystem 
literally eating itself and spitting out shrimp  ,literally eating itself and spitting out shrimp  
the next must-consume Seafood in America ,the next must-consume Seafood in America 
and also throughout the West is tuna so tuna  ,and also throughout the West is tuna so tuna  
um is this ultimate Global fish these huge ,um is this ultimate Global fish these huge 
Management areas have to be observed in order  ,Management areas have to be observed in order  
for tuna to be well managed our own management ,for tuna to be well managed our own management 
area called a regional fisheries management  ,area called a regional fisheries management  
organization is called icat the International ,organization is called ICCAT the International 
Convention for the conservation of Atlantic  ,Convention for the conservation of Atlantic  
Tunas the great naturalist Carl sophina once ,Tunas the great naturalist Carl Safina once 
called it the international conspiracy to catch  ,called it the international conspiracy to catch  
all the Tunas of course we've seen incredible ,all the Tunas of course we've seen incredible 
Improvement in icat in the last few years there  ,Improvement in ICCAT in the last few years there  
is total room for improvement but it remains to ,is total room for improvement but it remains to 
be said that tuna is a global fish and to manage  ,be said that tuna is a global fish and to manage  
it we have to manage the globe well we could also ,it we have to manage the globe well we could also 
try to grow tuna but tuna is a spectacularly bad  ,try to grow tuna but tuna is a spectacularly bad  
animal for aquaculture many people don't know ,animal for aquaculture many people don't know 
this but tuna are warm-blooded they can heat  ,this but tuna are warm-blooded they can heat  
their bodies 20 degrees above ambient temperature ,their bodies 20 degrees above ambient temperature 
they can swim at over 40 miles an hour so pretty  ,they can swim at over 40 miles an hour so pretty  
much eliminates all the advantages of farming a ,much eliminates all the advantages of farming a 
fish right a farm fish is or fish is cold-blooded  ,fish right a farmed fish is or fish is cold-blooded  
it doesn't move too much that's a great thing for ,it doesn't move too much that's a great thing for 
growing protein but if you've got this crazy wild  ,growing protein but if you've got this crazy wild  
creature that swims at 40 miles an hour and heats ,creature that swims at 40 miles an hour and heats 
its blood not a great candidate for aquaculture  ,its blood not a great candidate for aquaculture  
the next creature and most consumed Seafood in ,the next creature and most consumed Seafood in 
America and throughout the West is salmon now  ,America and throughout the West is salmon now  
salmon got its plundering too but it didn't ,salmon got its plundering too but it didn't 
really necessarily happen through fishing  ,really necessarily happen through fishing  
this is my home state of Connecticut Connecticut ,this is my home state of Connecticut Connecticut 
used to be home to a lot of wild salmon but if  ,used to be home to a lot of wild salmon but if  
you look at this map of Connecticut every dot ,you look at this map of Connecticut every dot 
on that map is a dam there are over 3 000 dams  ,on that map is a dam there are over 3 000 dams  
in the state of Connecticut I often say this ,in the state of Connecticut I often say this 
is why people in Connecticut are so so uptight  ,is why people in Connecticut are so so uptight  
if somebody could just unblock Connecticut's chi I ,if somebody could just unblock Connecticut's chi I 
feel that we could have an infinitely better world  ,feel that we could have an infinitely better world  
but I made this particular comment at a convention ,but I made this particular comment at a convention 
once of national parks officers and this guy from  ,once of national parks officers and this guy from  
North Carolina sidled up to me says you know you ,North Carolina sidled up to me he says you know you 
ought and be so hard on your Connecticut because  ,oughtn't be so hard on your Connecticut because  
we here in North Carolina we got 35 000 dams so ,we here in North Carolina we got 35 000 dams so 
it's a national epidemic it's an international  ,it's a national epidemic it's an international  
epidemic and there are dams everywhere and these ,epidemic and there are dams everywhere and these 
are precisely the things that stop wild salmon  ,are precisely the things that stop wild salmon  
from reaching their spawning grounds so as a ,from reaching their spawning grounds so as a 
result we've turned to aquaculture and salmon is  ,result we've turned to aquaculture and salmon is  
one of the most successful at least from a numbers ,one of the most successful at least from a numbers 
point of view when they first started farming  ,point of view when they first started farming  
salmon it could take as many as six pounds of wild ,salmon it could take as many as six pounds of wild 
fish to make a single pound of salmon the industry  ,fish to make a single pound of salmon the industry  
has to its credit greatly improved they've gotten ,has to its credit greatly improved they've gotten 
it below two to one although it's a little bit of  ,it below two to one although it's a little bit of  
a cheat because if you look at the way aquaculture ,a cheat because if you look at the way aquaculture 
feed is produced they're measuring pellets pounds  ,feed is produced they're measuring pellets pounds  
of pellets per pound of salmon those pellets ,of pellets per pound of salmon those pellets 
are in turn reduced fish so the actual What's  ,are in turn reduced fish so the actual What's  
called the FIFA the fish in and the fishing ,called the FIFO the fish in and the fish out
kind of hard to say but in any case credit to  ,kinda hard to say but in any case credit to  
the industry it has lowered the amount of fish per ,the industry it has lowered the amount of fish per 
pound of salmon problem is we've also gone crazy  ,pound of salmon problem is we've also gone crazy  
with the amount of salmon that we're producing ,with the amount of salmon that we're producing 
aquaculture is the fastest growing food system  ,aquaculture is the fastest growing food system  
on the planet it's growing at something like ,on the planet it's growing at something like 
seven percent per year and so even though we're  ,seven percent per year and so even though we're  
doing less per fish to bring it to the market ,doing less per fish to bring it to the market 
we're still killing a lot of these little fish  ,we're still killing a lot of these little fish  
and it's not just uh fish that we're feeding fish ,and it's not just uh fish that we're feeding fish 
to we're also feeding fish to chickens and pigs  ,to we're also feeding fish to chickens and pigs  
so we got chickens and they're eating fish ,so we got chickens and they're eating fish 
but weirdly we also have fish that are eating  ,but weirdly we also have fish that are eating  
chickens uh because uh the byproducts of ,chickens uh because uh the byproducts of 
chickens feathers blood bone get ground up  ,chickens feathers blood bone get ground up  
and fed to fish so I often wonder is there ,and fed to fish so I often wonder is there 
a fish that ate a chicken that ate a fish  ,a fish that ate a chicken that ate a fish  
it's sort of a reworking of the chicken ,it's sort of a reworking of the chicken 
and egg thing anyway all together mess  ,and egg thing anyway all together though it results in a terrible mess  
um what you're talking about is something between ,um what you're talking about is something between 
20 and 30 million metric tons of wild creatures  ,20 and 30 million metric tons of wild creatures  
that are taken from the ocean and used and ,that are taken from the ocean and used and 
ground up that's the equivalent of a third  ,ground up that's the equivalent of a third  
of a China or of entire United States of humans ,of a China or of entire United States of humans 
that's taken out of the sea each and every year  ,that's taken out of the sea each and every year  
the last of the four is a kind of amorphous ,the last of the four is a kind of amorphous 
thing um it's you know what the industry calls  ,thing um it's you know what the industry calls  
white fish there's many fish that get cycled into ,white fish there's many fish that get cycled into 
this white fish thing but the way to kind of tell  ,this white fish thing but the way to kind of tell  
the story I think is through that classic piece ,the story I think is through that classic piece 
of American culinary and Innovation the filet  ,of American culinary Innovation the Filet-O-Fish
fish sandwich so the filet fish sandwich actually ,sandwich so the Filet-O-Fish sandwich actually 
started as halibut and it started because a local  ,started as halibut and it started because a local  
franchise owner found that when he served his ,franchise owner found that when he served his 
McDonald's on on Friday nobody came because it  ,McDonald's on on Friday nobody came because it  
was a Catholic Community they needed fish so ,was a Catholic Community they needed fish so 
Ray Kroc um he went to Ray Crock and he said  ,Ray Kroc um he went to Ray Kroc and he said  
I'm going to bring you a fish sandwich gonna be ,I'm gonna bring you a fish sandwich gonna be 
made out of halibut Ray Kroc said I don't think  ,made out of halibut Ray Kroc said I don't think  
it's going to work I want to do a hula burger ,it's gonna work I wanna do a Hula Burger
and there's going to be a slice of pineapple on  ,and there's gonna be a it's a slice of pineapple on  
a bun but let's do this let's have a bet who's ,a bun but let's do this let's have a bet who's 
ever sandwiched you know sells more that will  ,ever sandwiched you know sells more that will  
be the winning sandwich well it's kind of sad ,be the winning sandwich well it's kind of sad 
for the ocean that the hula Burger didn't win  ,for the ocean that the Hula Burger didn't win  
um so he made his halibut sandwich unfortunately ,um so he made his halibut sandwich unfortunately 
though the sandwich came in at 30 cents Ray wanted  ,though the sandwich came in at 30 cents Ray wanted  
the sandwich to come in at 25 cents so he turned ,the sandwich to come in at 25 cents so he turned 
to Atlantic Cod we all know what happened to  ,to Atlantic Cod we all know what happened to  
Atlantic cod in New England so now the filet of ,Atlantic cod in New England so now the Filet-O-Fish 
fish sandwich is made out of Alaska Pollock it's  , sandwich is made out of Alaska Pollock it's 
the largest finfish fishery in the United States ,the largest finfish fishery in the United States 
two to three billion pounds of fish taken out of  ,two to three billion pounds of fish taken out of  
the sea every single year if we go through the ,the sea every single year if we go through the 
Pollock the next choice is probably going to  ,Pollock the next choice is probably going to  
be tilapia tilapia is one of those fish nobody ,be tilapia tilapia is one of those fish nobody 
ever heard of 20 years ago it's actually a very  ,ever heard of 20 years ago it's actually a very  
efficient converter of plant protein into animal ,efficient converter of plant protein into animal 
protein and it's been a godsend to the third world  ,protein and it's been a godsend to the third world  
it's actually a tremendously sustainable solution ,it's actually a tremendously sustainable solution 
goes from an egg to an adult in nine months  ,goes from an egg to an adult in nine months  
problem is that when you look about the West it ,problem is that when you look about the West it 
doesn't do what the West wants it to do it really  ,doesn't do what the West wants it to do it really  
doesn't have what's called an oily fish profile it ,doesn't have what's called an oily fish profile it 
doesn't have the EPA and DHA Omega-3s that we all  ,doesn't have the EPA and DHA Omega-3s that we all  
think are going to make us live forever so what ,think are gonna make us live forever so what 
do we do I mean first of all what about this poor  ,do we do I mean first of all what about this poor  
fish the cloupaids the fish that represent a huge ,fish the Clupeids the fish that represent a huge 
part of that 20 to 30 million metric tons well one  ,part of that 20 to 30 million metric tons well one  
possibility that a lot of conservationists have ,possibility that a lot of conservationists have 
raised is um could we eat them could we eat them  ,raised is um could we eat them could we eat them  
directly instead of feeding them to Salmon there ,directly instead of feeding them to Salmon there 
are Arguments for it they are tremendously fuel  ,are Arguments for it they are tremendously fuel  
efficient to bring to Market a fraction of the ,efficient to bring to Market a fraction of the 
fuel cost of Saved shrimp and at the very top  ,fuel cost of say shrimp and at the very top  
of the carbon efficiency scale they also are ,of the carbon efficiency scale they also are 
Omega-3 Rich a great source for EPA and DHA so  ,Omega-3 Rich a great source for EPA and DHA so  
that is a potential and if we we were to go down ,that is a potential and if we we were to go down 
that route what I would say is instead of paying a  ,that route what I would say is instead of paying a  
few bucks a pound or a few bucks a ton really and ,few bucks a pound or a few bucks a ton really and 
making it into Aqua feed could we have the catch  ,making it into Aqua feed could we have the catch  
and double the price for the fishermen and make ,and double the price for the fishermen and make 
that our way of treating these particular fish  ,that our way of treating these particular fish  
other possibility though which is much ,other possibility though which is much 
more interesting is looking at the bivalves  ,more interesting is looking at bivalves  
particularly muscles now muscles are very high ,particularly muscles now muscles are very high 
in EPA DHA they're they're similar to canned tuna  ,in EPA DHA they're they're similar to canned tuna  
they are also extremely fuel efficient to ,they are also extremely fuel efficient to 
bring a pound of muscles to Market is about  ,bring a pound of muscles to Market is about  
a thirtieth of the carbon as required to bring ,a thirtieth of the carbon as required to bring 
beef to Market they require no forage fish they  ,beef to Market they require no forage fish they  
actually get their Omega-3s by filtering the water ,actually get their Omega-3s by filtering the water 
of microalgae in fact that's where Omega-3s come  ,of microalgae in fact that's where Omega-3s come  
from they don't come from fish microalgae make ,from they don't come from fish microalgae make 
the Omega-3s they're only bio concentrated in  ,the Omega-3s they're only bio concentrated in  
fish mussels and other bivalves do tremendous ,fish mussels and other bivalves do tremendous 
amounts of water filtration a single muscle can  ,amounts of water filtration a single muscle can  
filter dozens of gallons every single day and this ,filter dozens of gallons every single day and this 
is incredibly important when we look at the world  ,is incredibly important when we look at the world  
right now nitrification over use of phosphates in ,right now nitrification over use of phosphates in 
our waterways are causing tremendous algal blooms  ,our waterways are causing tremendous algal blooms  
over 400 new Dead zones have been created in the ,over 400 new Dead zones have been created in the 
last 20 years tremendous sources of marine life  ,last 20 years tremendous sources of marine life  
death we also could look at not a fish at all ,death we also could look at not a fish at all 
we could look at a vegetable we could look at  ,we could look at a vegetable we could look at  
seaweed the Kelps all these different varieties of ,seaweed the Kelps all these different varieties of 
things that can be high in Omega-3s can be high in  ,things that can be high in Omega-3s can be high in  
proteins tremendously good things they filter the ,proteins tremendously good things they filter the 
water just like muscles do and weirdly enough it  ,water just like muscles do and weirdly enough it  
turns out that you can actually feed this to cows ,turns out that you can actually feed this to cows 
now I'm not a big fan of cattle but if you wanted  ,now I'm not a big fan of cattle but if you wanted  
to keep growing cattle in a time and place where ,to keep growing cattle in a time and place where 
water resources are limited you're growing seaweed  ,water resources are limited you're growing seaweed  
in the water you don't have to water it major ,in the water you don't have to water it major 
consideration and the last fish is a question mark  ,consideration and the last fish is a question mark  
we have the ability to create aquacultured fish ,we have the ability to create aquacultured fish 
that creates a net gain of marine protein for us  ,that creates a net gain of marine protein for us  
this creature would have to be vegetarian it would ,this creature would have to be vegetarian it would 
have to be fast growing it'd have to be adaptable  ,have to be fast growing it'd have to be adaptable  
to a changing climate and would have to have that ,to a changing climate and would have to have that 
oily fish profile that EPA DHA omega-3 fatty acid  ,oily fish profile that EPA DHA omega-3 fatty acid  
profile that we're looking for this exists kind of ,profile that we're looking for this exists kind of 
on paper I've been reporting on these subjects for  ,on paper I've been reporting on these subjects for  
15 years every time I do a new story somebody ,15 years every time I do a new story somebody 
tells me we can do all that we can do it we  ,tells me we can do all that we can do it we  
figured it all out we can produce a fish that's ,figured it all out we can produce a fish that's 
a net gain of marine protein and has Omega-3s  ,a net gain of marine protein and has Omega-3s  
great it doesn't seem to be getting scaled up ,great it doesn't seem to be getting scaled up 
it is time to scale this up if we do 30 million  ,it is time to scale this up if we do 30 million  
metric tons of seafood a third of the world catch ,metric tons of seafood a third of the world catch 
stays in the water so I guess what I'm saying is  ,stays in the water so I guess what I'm saying is  
this is what we've been going with we tend to go ,this is what we've been going with we tend to go 
with our appetites rather than our minds but if  ,with our appetites rather than our minds but if  
we went with this or some configuration of it ,we went with this or some configuration of it 
we might have a little more of this thank you,we might have a little more of this thank you
