AUTOMATIC,MANUAL
of London without Kube in Magnolia markets  ,of London without Kube in Machaneh Yehudah market
that was the lesson I learned so six years ,that was the lesson I learned so six years 
ago just opened my restaurant my first one  ,ago just opened my restaurant my first one  
super excited all of us in the kitchen ,super excited all of us in the kitchen 
the restaurant is packed we didn't expect  ,the restaurant is packed we didn't expect  
so many people even my parents didn't ,so many people even my parents didn't 
have a place to sit sorry guys and um  ,have a place to sit sorry guys and um  
and I'm looking at the fridges and the chefs ,and I'm looking at the fridges and the chefs 
behind me they say Chef were running out of food  ,behind me they say Chef we're running out of food  
and in about a minute I have to go out and tell ,and in about a minute I have to go out and tell 
people they have to leave the restaurant because  ,people they have to leave the restaurant because  
I have nothing to give them so I shout back to ,I have nothing to give them so I shout back to 
the chefs what do we have left on the storage  ,the chefs what do we have left on the storage  
and they say we got some corn some asparagus some ,and they say we got some corn some asparagus some 
mushrooms we quickly made a polenta and we had no  ,mushrooms we quickly made a polenta and we had no  
plates to serve with him because we were just open ,plates to serve with him because we were just open 
and we we didn't buy enough plates so I caught  ,and we we didn't buy enough plates so I caught  
a glimpse of some pickle jars we just got that ,a glimpse of some pickle jars we just got that 
morning to make some pickles and I in a moment of  ,morning to make some pickles and I in a moment of  
probably craziness I told my sous chef just ,probably craziness I told my sous chef just 
wash them we put the hot polenta in them and  ,wash them we put the hot polenta in them and  
served it in in the in the jar that that ,served it in in the in the jar that that 
was the birth of magniuda's famous polenta,was the birth of Machneyuda's famous polenta
a man whose work is ass off for 20 ,a man whose work is ass off for 20 
years and then one job gets Applause,years and then one jar gets Applauses
so uh from that day thousands of polenta dishes ,so uh from that day thousands of polenta dishes 
went out in pickle jars from from talbier and from  ,went out in pickle jars from from Tal Bir and from  
Hebron Road from magnauda and from London and when ,Hebron Road from Machneyuda and from London and when 
it all comes down and I sit down with myself and  ,it all comes down and I sit down with myself and  
the noise of the kitchen and the pressure Goes ,the noise of the kitchen and the pressure Goes 
Down And Memories start pouring in I I remember  ,Down And Memories start pouring in I I remember  
myself as a young child and I remember my mother ,myself as a young child and I remember my mother 
cooking a polenta-like porridge sweet polenta like  ,cooking a polenta-like porridge sweet polenta like  
porridge for me and I was sitting and eating it so ,porridge for me and I was sitting and eating it so 
slowly in circles because I liked it so much and I  ,slowly in circles because I liked it so much and I  
didn't want to get to the last spoon in the center ,didn't want to get to the last spoon in the center 
and I it that it it is this moment that makes me  ,and I it that it it is this moment that makes me  
realize I chose in that stressful moment to make ,realize I chose in that stressful moment to make 
a polenta because of that memory memory of the  ,a polenta because of that memory memory of the  
child eating that unfinishing porridge and it in ,child eating that unfinishing porridge and it in 
that moment I realized that I am made from what  ,that moment I realized that I am made from what  
I was as a chef I made from what my ancestors ,I was as a chef I made from what my ancestors 
were I am the two thousand years of wandering  ,were I am the two thousand years of wandering  
I am the matzah I am the dates that come from ,I am the matzah I am the dates that come from 
Jericho and I am the olive that grow in the Ella  ,Jericho and I am the olive that grow in the Ella  
I'm the fish that are caught ,I'm the fish that are caught 
in the shores of Gaza and Jaffa,in the shores of Gaza and Jaffa
I am the Hunter and I break down the meat I am ,I am the Hunter and I break down the meat I am 
the grinder and I'm the baker I go 40 years in  ,the grinder and I'm the baker I go 40 years in  
the desert and I bring the Clusters to the ,the desert and I bring the Clusters to the 
promised land I'm the Roman soldier at the  ,promised land I'm the Roman soldier at the  
feet of Masada and I'm the last man barricaded ,feet of Masada and I'm the last man barricaded 
in the temple I'm a slave and I'm a priest,in the temple I'm a slave and I'm a priest
I'm a poet and a believer I've ,I'm a poet and a believer I've 
been banished and I've returned,been banished and I've returned
I'm wondering but I'm a settler  ,I'm wandering but I'm a settler  
I am the porridge and I'm the polenta I'm the ,I am the porridge and I'm the polenta I'm the 
bossa and I'm the student I'm Kube and I'm sushi,Basbousa and I'm the strudel I'm Kube and I'm sushi
everything has already been said more than that ,everything has already been said more than that 
everything has already been cooked but only when  ,everything has already been cooked but only when  
I truly respect and master the legacies before me ,I truly respect and master the legacies before me 
then I start creating a legacy of my own thank you,then I start creating a legacy of my own thank you
